Catalyst,f4,f5,f6,f7,f8,f9,t
1,3.0,0.4,10,0.0,70.0,120,96.9
1,3.0,0.4,10,0.0,70.0,140,96.9
1,3.0,0.4,10,0.0,70.0,160,96.9
1,3.0,0.4,10,0.0,70.0,180,96.9
1,3.0,0.4,10,0.0,70.0,200,96.9
1,3.0,0.4,5,0.0,0.5,0,0.0
1,3.0,0.4,5,0.0,0.5,20,39.89
1,3.0,0.4,5,0.0,0.5,40,56.28
1,3.0,0.4,5,0.0,0.5,60,68.68
1,3.0,0.4,5,0.0,0.5,80,77.23
1,3.0,0.4,5,0.0,0.5,100,81.5
1,3.0,0.4,5,0.0,0.5,120,84.85
1,3.0,0.4,5,0.0,0.5,140,89.88
1,3.0,0.4,5,0.0,0.5,160,91.56
1,3.0,0.4,5,0.0,0.5,180,94.91
1,3.0,0.4,5,0.0,0.5,200,98.26
1,3.0,0.4,10,0.0,0.5,0,0.0
1,3.0,0.4,10,0.0,0.5,20,25.33
1,3.0,0.4,10,0.0,0.5,40,44.53
1,3.0,0.4,10,0.0,0.5,60,57.9
1,3.0,0.4,10,0.0,0.5,80,67.19
1,3.0,0.4,10,0.0,0.5,100,75.21
1,3.0,0.4,10,0.0,0.5,120,82.67
1,3.0,0.4,10,0.0,0.5,140,87.8
1,3.0,0.4,10,0.0,0.5,160,90.48
1,3.0,0.4,10,0.0,0.5,180,93.78
1,3.0,0.4,10,0.0,0.5,200,96.95
1,3.0,0.4,15,0.0,0.5,0,0.0
1,3.0,0.4,15,0.0,0.5,20,25.35
1,3.0,0.4,15,0.0,0.5,40,38.88
1,3.0,0.4,15,0.0,0.5,60,51.12
1,3.0,0.4,15,0.0,0.5,80,58.3
1,3.0,0.4,15,0.0,0.5,100,65.76
1,3.0,0.4,15,0.0,0.5,120,71.91
1,3.0,0.4,15,0.0,0.5,140,76.11
1,3.0,0.4,15,0.0,0.5,160,79.99
1,3.0,0.4,15,0.0,0.5,180,83.26
1,3.0,0.4,15,0.0,0.5,200,84.95
2,2.0,0.2,10,0.0,0.5,0,0.0
2,2.0,0.2,10,0.0,0.5,20,11.29
2,2.0,0.2,10,0.0,0.5,40,19.27
2,2.0,0.2,10,0.0,0.5,60,24.72
2,2.0,0.2,10,0.0,0.5,80,30.56
2,2.0,0.2,10,0.0,0.5,100,34.99
2,2.0,0.2,10,0.0,0.5,120,40.67
2,2.0,0.2,10,0.0,0.5,140,44.31
2,2.0,0.2,10,0.0,0.5,160,48.49
2,2.0,0.2,10,0.0,0.5,180,53.86
2,2.0,0.2,10,0.0,0.5,200,56.23
2,3.0,0.2,10,0.0,0.5,0,0.0
2,3.0,0.2,10,0.0,0.5,20,31.38
2,3.0,0.2,10,0.0,0.5,40,44.04
2,3.0,0.2,10,0.0,0.5,60,53.15
2,3.0,0.2,10,0.0,0.5,80,59.13
2,3.0,0.2,10,0.0,0.5,100,63.9
2,3.0,0.2,10,0.0,0.5,120,69.1
2,3.0,0.2,10,0.0,0.5,140,73.0
2,3.0,0.2,10,0.0,0.5,160,75.26
2,3.0,0.2,10,0.0,0.5,180,79.94
2,3.0,0.2,10,0.0,0.5,200,82.63
2,5.0,0.2,10,0.0,0.5,0,0.0
2,5.0,0.2,10,0.0,0.5,20,3.64
2,5.0,0.2,10,0.0,0.5,40,7.89
